gid,주차장,경도,위도,건물1,건물2,건물3,관공서,경제인구,전기차,충전소,차량속도,입지총점,총점순위
마라19ba90ab,0.5274725274725274,128.8141273,35.20159114,0.19205298013245034,0.6,0.0,0.75,0.2591454042422379,0.0,-0.0,-0.1,1.701198384374688,20
마라18bb91aa,0.0,128.8059984,35.20844135,0.10596026490066225,0.04,1.6,0.0,0.0,0.0,-0.0,-0.08333333333333333,1.662626931567329,21
마라27ab95aa,0.0,128.8999774,35.24345582,0.10596026490066225,0.24,0.0,0.375,0.9219182293267753,0.0,-0.0,-0.0,1.6428784942274375,22
마라27ab94bb,0.0,128.8999387,35.24120222,0.2980132450331126,0.4,0.0,0.0,0.6633876421764525,0.2772020725388601,-0.0,-0.0,1.6386029597484253,23
마라21aa94aa,0.07252747252747253,128.8311534,35.23521624,0.2251655629139073,0.0,0.0,1.125,0.011681524746387948,0.6088082901554405,-0.0,-0.3416666666666667,1.628988711149069,24
마라24ab97ba,0.0,128.8673914,35.26636893,0.059602649006622516,0.68,0.0,0.0,0.8438364586535505,0.0,-0.0,-0.0,1.583439107660173,25
마라18ba90ab,0.0,128.8031444,35.20170985,0.059602649006622516,0.44,0.0,0.75,0.540731632339379,0.0,-0.0,-0.21666666666666667,1.573667614679335,26
마라18aa89bb,0.0,128.7975813,35.19726142,0.19205298013245034,0.12,0.2,0.75,0.2920381186596987,0.0,-0.0,-0.0,1.554091098792149,27
마라25bb94aa,1.2197802197802199,128.8833422,35.23463094,1.0,0.12,0.0,0.375,0.05256686135874577,0.0,-0.0,-0.0,1.5475668613587459,28
마라23bb97ab,0.0,128.861858,35.2641773,0.026490066225165563,0.16,1.4000000000000001,0.0,0.05102981862895788,0.0,-0.0,-0.09166666666666666,1.5458532181874571,29
